sender,receiver,weight
tutaleni,emergeAfrica,4
tutaleni,nicolapallitt,6
tutaleni,NeumannKL,2
tutaleni,jeroen69,4
tutaleni,aectclt,3
tutaleni,PaulineMuljana,3
tutaleni,tadousay,2
tutaleni,troman,2
tutaleni,_ThanhDo,1
tutaleni,AECT,6
UMassLinguistic,veletsianos,2
gsa_aect,tadousay,2
gsa_aect,AECT,3
leohavemann,veletsianos,2
sukainaw,veletsianos,2
emergeAfrica,nicolapallitt,16
emergeAfrica,hodgesc,2
emergeAfrica,tadousay,2
emergeAfrica,LiuJh_Christie,2
emergeAfrica,DrVirtuality,2
emergeAfrica,veletsianos,2
emergeAfrica,richardewest,2
emergeAfrica,robmoore3,2
emergeAfrica,aectclt,5
nicolapallitt,tutaleni,4
nicolapallitt,srogidd,3
nicolapallitt,KuiXiePHD,1
nicolapallitt,LiuJh_Christie,3
nicolapallitt,emergeAfrica,9
nicolapallitt,LearnEngage,2
nicolapallitt,robmoore3,2
nicolapallitt,DKSch,2
GabrielKonayuma,emergeAfrica,3
GabrielKonayuma,veletsianos,2
GabrielKonayuma,nicolapallitt,5
constatively,veletsianos,2
constatively,FredWBaker,4
constatively,hodgesc,2
constatively,LearnEngage,2
LiuJh_Christie,emergeAfrica,8
LiuJh_Christie,srogidd,12
LiuJh_Christie,hodgesc,4
LiuJh_Christie,nicolapallitt,19
LiuJh_Christie,TAmankwatia,2
LiuJh_Christie,veletsianos,2
LiuJh_Christie,tutaleni,6
LiuJh_Christie,KuiXiePHD,1
LiuJh_Christie,FanXU92073425,2
LiuJh_Christie,PaulineMuljana,2
LiuJh_Christie,LearnEngage,2
LiuJh_Christie,DKSch,3
LiuJh_Christie,AECT,21
onmyway2here,veletsianos,2
Harriet96152202,RoutledgeEd,2
MattheaMarquart,veletsianos,2
treymartindale,MeganCMurtaugh,2
treymartindale,AECT,4
the80kcrew,caranorth11,5
the80kcrew,AnnaRoseLeach,2
Chri5rowell,veletsianos,2
ETHEjournal,veletsianos,2
michaelmgrant,steph_moore,2
michaelmgrant,ISLT_FSU,3
michaelmgrant,KuiXiePHD,1
michaelmgrant,DrTerriC,3
michaelmgrant,LearnEngage,3
michaelmgrant,AECT,33
michaelmgrant,dctrcurry,21
michaelmgrant,matt_m_schmidt,4
michaelmgrant,FredWBaker,4
michaelmgrant,AnnaRoseLeach,2
michaelmgrant,JCHEResearch,2
michaelmgrant,jeroen69,4
michaelmgrant,hodgesc,4
michaelmgrant,aectclt,5
michaelmgrant,Happy_Tao,2
michaelmgrant,ifenthaler,2
michaelmgrant,ZhenXu0905,2
michaelmgrant,valarywithawhy,2
michaelmgrant,rebeccamclark87,2
michaelmgrant,TAmankwatia,2
michaelmgrant,ruitammyhuang,1
michaelmgrant,art_brownlow,2
michaelmgrant,MuratTurkEd,3
michaelmgrant,tkolski716,2
michaelmgrant,JenM,3
michaelmgrant,veletsianos,2
michaelmgrant,AectInternship,2
michaelmgrant,OlgaCataliina,2
michaelmgrant,jcmadison2007,2
michaelmgrant,tadousay,4
michaelmgrant,kolorkid,3
michaelmgrant,rmreese1,2
michaelmgrant,aectddl,4
michaelmgrant,koubenec,4
michaelmgrant,SmithShannonM,2
michaelmgrant,AmyLomellini_ID,2
aectclt,LiuJh_Christie,1
aectclt,nicolapallitt,3
aectclt,michaelmgrant,2
MargyMacLibrary,veletsianos,2
ifyouaskbetty,caranorth11,2
DrFrankGomez,AECT,2
shonn2nd,aectrtd,2
aectddl,AECT,5
aectddl,aectddl,3
aectddl,dctrcurry,2
aectddl,rmreese1,2
RitaFennelly,veletsianos,2
RitaFennelly,kariword,1
CherylHW,AECT,2
clement_abai,gsa_aect,2
markoteras,veletsianos,2
pattishank,caranorth11,2
SuzanKoseoglu,veletsianos,2
SuzanKoseoglu,nangur1,2
SuzanKoseoglu,jeroen69,2
MarkJ_ohnson,veletsianos,2
MarkJ_ohnson,ISLT_FSU,2
hodgesc,veletsianos,2
hodgesc,FredWBaker,4
hodgesc,AECT,5
DavidGilbertVO,caranorth11,5
DavidGilbertVO,AnnaRoseLeach,2
marshallgjones,AECT,8
marshallgjones,hodgesc,2
lsbu_crit,veletsianos,2
Mohamedmetwa,emergeAfrica,2
ELTAugusta,veletsianos,2
cherybrown,veletsianos,2
AECTTechTrends,hodgesc,6
AECTTechTrends,HsuBSU,2
AECTTechTrends,tadousay,2
AECTTechTrends,FredWBaker,2
_COER_,veletsianos,2
SprintbaseB,FredWBaker,2
SprintbaseB,sjojackson,2
SURTThomas,AECT,15
SURTThomas,tutaleni,2
SURTThomas,caranorth11,2
SURTThomas,FredWBaker,4
SURTThomas,teacherrogers,2
SURTThomas,FakeBobGagne,8
SURTThomas,ekowch,2
SURTThomas,Gaston_teach,2
WilsonInEdu,AECT,4
WilsonInEdu,hodgesc,2
WilsonInEdu,arasbozkurt,3
WilsonInEdu,AmyLomellini_ID,2
GovenderShanali,nicolapallitt,2
TheIDMD,AECT,2
jeroen69,PaulineMuljana,2
heidilundsgaard,SBarksway,2
nataliebmilman,FredWBaker,2
veletsianos,EdTech_Books,2
veletsianos,tutaleni,2
veletsianos,roycekimmons,2
teacherrogers,susiegronseth,2
teacherrogers,DrVirtuality,4
teacherrogers,ChangeIt4Better,6
teacherrogers,MeganCMurtaugh,2
teacherrogers,rmreese1,4
teacherrogers,MuratTurkEd,1
teacherrogers,jeroen69,2
teacherrogers,hodgesc,2
teacherrogers,arasbozkurt,2
teacherrogers,ISLT_FSU,2
teacherrogers,art_brownlow,2
teacherrogers,FredWBaker,2
teacherrogers,ruitammyhuang,1
teacherrogers,nangur1,2
teacherrogers,Happy_Tao,2
teacherrogers,aectclt,4
teacherrogers,srogidd,2
teacherrogers,RitaFennelly,2
teacherrogers,AECT,12
teacherrogers,LearnEngage,2
teacherrogers,richardewest,2
FredWBaker,FredWBaker,2
FredWBaker,michaelmgrant,2
FredWBaker,tadousay,2
FredWBaker,AECT,8
FredWBaker,hodgesc,2
DanDubien,veletsianos,2
scc_dr_johnson,VanekJen,2
memoryacademyge,caranorth11,2
AmyLomellini_ID,nicolapallitt,5
AmyLomellini_ID,emergeAfrica,2
AmyLomellini_ID,DrTerriC,2
ruitammyhuang,hampthephd,8
ruitammyhuang,UF_COE,4
14prinsp,nicolapallitt,2
TheMakerBit,rebeccamclark87,4
mkerres,AECT,2
michele_estes,veletsianos,2
michele_estes,steph_moore,2
carinavr,nicolapallitt,2
EINS_Institute,kolorkid,3
EINS_Institute,tadousay,2
EINS_Institute,FredWBaker,2
EINS_Institute,steph_moore,2
EINS_Institute,richardewest,2
Czernie,nicolapallitt,2
WorldEdUS,VanekJen,2
tony_emerge,emergeAfrica,2
Bali_Maha,emergeAfrica,2
Bali_Maha,arasbozkurt,2
ISdeptDUT,emergeAfrica,2
CLT_COED,UF_COE,2
yuuki5000,AECT,4
akesha,LiuJh_Christie,1
robmoore3,hodgesc,2
robmoore3,plowenthal,4
robmoore3,tadousay,2
robmoore3,ChangeIt4Better,2
robmoore3,UF_COE,2
robmoore3,PaulineMuljana,6
robmoore3,nikiwats23,2
jmenglund03,jennkepka,2
jmenglund03,LearnEngage,6
jmenglund03,johnhiltoniii,2
jmenglund03,AnnaRoseLeach,2
jmenglund03,VanekJen,2
jmenglund03,pazureka,2
francesmarg,tutaleni,2
francesmarg,NeumannKL,4
francesmarg,gsa_aect,2
francesmarg,tadousay,2
francesmarg,AECT,4
kellyeross16,DrTerriC,2
edudrake2,jeroen69,2
troman,WilsonInEdu,2
HsuBSU,HsuBSU,2
HsuBSU,EdTechAGP,1
HsuBSU,hodgesc,7
ImFutureReady,RoutledgeEd,2
EdTechSandyK,RoutledgeEd,2
KuiXiePHD,NeumannKL,2
KuiXiePHD,AECT,3
jjm09,jeroen69,2
jjm09,DKSch,2
KateWeaver80,SBarksway,2
jweeble,tutaleni,2
jweeble,hodgesc,2
francesbell,TenaciousTan,2
AnnaRoseLeach,caranorth11,8
MDRogers360,hodgesc,2
MDRogers360,michaelmgrant,2
MDRogers360,tadousay,2
LEDresearch,FanXU92073425,2
widged,DKSch,2
DrTerriC,techedges,2
eyer,yuuki5000,2
ScalarHumanity,michelestork,2
ScalarHumanity,jjm09,2
LaurenBagdy,bretsw,2
Captain_Fess,michelestork,3
Nasmahan1,richardewest,2
profoyarzun,AECT,2
profoyarzun,robmoore3,2
profoyarzun,d_mulder,2
Thinkshareteach,yuuki5000,2
yiyishishi,techedges,4
DrVirtuality,AllisonHallAZ,2
DrVirtuality,caranorth11,2
DrVirtuality,tutaleni,2
DrVirtuality,LearnEngage,2
DrVirtuality,yuuki5000,2
DrVirtuality,LiuJh_Christie,2
DrVirtuality,nangur1,2
DrVirtuality,WilsonInEdu,2
DrVirtuality,AECT,45
SchoolSportsApp,jjm09,2
DrRossPerkins,hodgesc,2
FakeBobGagne,KinardWidad,2
FakeBobGagne,marena2040,2
FakeBobGagne,veletsianos,2
FakeBobGagne,bretsw,2
techedges,steph_moore,2
BrendaPadilla,hodgesc,2
MuratTurkEd,AECT,6
MuratTurkEd,michaelmgrant,3
JulieATippens,richardewest,2
icr205,Learnics_,1
dan_holtey,pazureka,2
oueducation,DrTerriC,2
aolmstead1,kariword,1
tel_education,DrTerriC,2
dawnwright67,AmyLomellini_ID,2
TenaciousTan,jeroen69,2
pennymoved,nangur1,2
okeeffefiddle,gravesle,2
OT_Pattie,EdTech_UofSC,2
gravesle,yuuki5000,2
JCHEResearch,DrTerriC,2
kariword,ISLT_FSU,4
LearnEngage,pazureka,10
LearnEngage,ifenthaler,2
benbrown,koubenec,2
mktyrt,yuuki5000,2
ifenthaler,PaulineMuljana,4
ifenthaler,nateturcotte22,2
ifenthaler,RitaFennelly,2
steph_moore,gsa_aect,2
steph_moore,richardewest,2
steph_moore,arasbozkurt,2
steph_moore,JCHEResearch,2
TheRealMcKoo,FakeBobGagne,2
vdennen,ISLT_FSU,3
tech4teachers19,gravesle,2
JMUTLT,LiuJh_Christie,1
DLResearchLab,KuiXiePHD,3
RyanStraight,gravesle,2
pazureka,LearnEngage,14
pazureka,kariword,1
pazureka,AECT,12
valarywithawhy,SardImperium,2
tcallaghan55,tadousay,4
patrickplante,koubenec,2
buckydodd,DrTerriC,2
Tahanialdo,hodgesc,2
okstate_etc,tutaleni,10
okstate_etc,tadousay,2
hampthephd,ruitammyhuang,1
hampthephd,AECT,3
News_MSU,Chiffonbest,2
News_MSU,MelGoodEDU,2
BChirgwin,DrTerriC,2
literacyandland,hodgesc,2
MelGoodEDU,art_brownlow,2
MelGoodEDU,RitaFennelly,2
amy_c_bradshaw,KuiXiePHD,1
amy_c_bradshaw,nicolapallitt,2
CorinaPastrana,SBarksway,2
edtech_prokes,EdTechAGP,1
nangur1,bretsw,4
AECTTIL,AmyLomellini_ID,2
AECTTIL,Captain_Fess,2
AECTTIL,AECT,5
MoniIDD,ericpaulrogers,2
MoniIDD,arasbozkurt,2
MoniIDD,ISLT_FSU,7
MoniIDD,nangur1,2
MoniIDD,LearnEngage,4
MoniIDD,vdennen,2
roycekimmons,caranorth11,4
roycekimmons,EdTech_Books,3
roycekimmons,richardewest,2
_ThanhDo,tutaleni,2
arasbozkurt,pazureka,2
FanXU92073425,AECT,2
AsianJde,arasbozkurt,4
AsianJde,AECT,3
richardewest,caranorth11,2
richardewest,EdTech_Books,4
kristaruggles,jeroen69,2
traceyhabla,techedges,2
utexascoe,techedges,2
okstate_ehs,tutaleni,2
kzenovka,gsa_aect,4
kzenovka,teacherrogers,2
kcsabina_,AECT,2
kcsabina_,MarcusChildress,2
ktkjellerup,ISLT_FSU,2
Happy_Tao,EdTech_UofSC,3
Happy_Tao,aectclt,2
jayphd18,tutaleni,2
jayphd18,nicolapallitt,2
ZhongruiYao,ISLT_FSU,2
ZhongruiYao,hajeen2040,6
JenM,VanekJen,4
JenM,AECT,2
JenM,gsa_aect,3
UzaktanEgitimTR,arasbozkurt,2
grhluna24,matt_m_schmidt,2
36trusso,DKSch,2
epstrong,matt_m_schmidt,2
researchmrx,matt_m_schmidt,2
OER_Hub,arasbozkurt,2
matt_m_schmidt,roycekimmons,2
AleEscobedo_,art_brownlow,2
routledgebooks,RoutledgeEd,2
anna_ksigou,matt_m_schmidt,2
Calcaware,LiuJh_Christie,1
mreed_reads,idtesu,6
USouthAL_CoInS,Gaston_teach,2
EdTech_UofSC,AECT,3
yvzkblt,arasbozkurt,2
jmhenner,jennkepka,2
mkbtuc,RitaFennelly,2
JNWhiting,johnhiltoniii,2
yokufunda,EdTech_Books,2
EHinesPhD,ISLT_FSU,2
bass_gm,RoutledgeEd,2
Origin_Learning,caranorth11,2
drclintonlisell,johnhiltoniii,2
TTC_ESU,idtesu,6
KSUITEC,Stephsteph83,3
Durrahville,Stephsteph83,2
drjabaricain,Stephsteph83,2
EvidenceRobot,ruitammyhuang,1
EvidenceRobot,WilsonInEdu,2
Ekateri52105267,EdTech_Books,2
UT_IDT,caranorth11,2
UT_IDT,ChangeIt4Better,2
JMUEngaged,LiuJh_Christie,1
dctrcurry,AECT,11
Isaac75203895,idtesu,2
hajeen2040,ISLT_FSU,7
hajeen2040,pazureka,2
KristenBrooks77,Stephsteph83,2
andrewatawfik,PaulineMuljana,4
andrewatawfik,gsa_aect,2
Johnnie_Jiao,Kadeshaaa_,2
Johnnie_Jiao,MuratTurkEd,1
BoufflersLydie,DKSch,2
Alhareeri,idtesu,2
Alhareeri,art_brownlow,2
DawnMSnyder,caranorth11,2
Supt_comalisd,KathyMansfield,2
SambitPhD,LuEMLawrence,2
JJ1206,EmmaMMercier,2
LT_UMN,pazureka,2
sjblevin,AECT,2
nateturcotte22,tadousay,2
nateturcotte22,gsa_aect,4
MarlettDon,LF_Hampton,2
Livn2Learn,RitaFennelly,2
ksuiteach,KSUITEC,3
nicole_youmans,WilsonInEdu,2
ElaTheGrad,FredWBaker,2
ElaTheGrad,PaulineMuljana,4
hhuijser,ifenthaler,2
yaukable,pazureka,2
LightbulbJo,AnnaRoseLeach,2
LightbulbJo,caranorth11,3
NevadaEdChat,DrTerriC,4
AectInternship,gsa_aect,2
cmmarqua,KuiXiePHD,1
designthinkbot,kariword,1
lurdinharlnunes,AECT,2
aectdddivision,JenM,2
claimcompanies,tutaleni,2
MhammedSahafi,WilsonInEdu,2
UofSC_CTE,michaelmgrant,2
srogidd,teacherrogers,2
LearningFocused,LF_Hampton,2
Natachu,AnnaRoseLeach,2
MissKBurek,DrVirtuality,2
lxdify,caranorth11,2
livesimpleread,AnnaRoseLeach,2
mwhaile,AnnaRoseLeach,2
PhDprep,AnnaRoseLeach,2
DonnyBoy71,AnnaRoseLeach,2
rdfossey,ekowch,2
klillico72,valarywithawhy,2
Mike_Kunkle,AnnaRoseLeach,2
ChristyATucker,AnnaRoseLeach,2
Joseph_Suarez,AnnaRoseLeach,2
MMJoly,DKSch,2
AYSUN_GUNES,teacherrogers,2
FacLabUnige,DKSch,2
TheTracieCantu,caranorth11,2
TeddyISD,LearnEngage,2
MTroyMartin,roycekimmons,2
tugcealdemirpsu,PaulineMuljana,2
cscharber,AECT,2
