sender,receiver,edge_type
WorldEdUS,VanekJen,retweet
tony_emerge,emergeAfrica,retweet
Bali_Maha,emergeAfrica,retweet
Bali_Maha,arasbozkurt,retweet
ISdeptDUT,emergeAfrica,retweet
yinbk,DrVirtuality,retweet
CLT_COED,UF_COE,retweet
yuuki5000,AECT,retweet
yuuki5000,AECT,retweet
akesha,LiuJh_Christie,retweet
robmoore3,hodgesc,retweet
robmoore3,plowenthal,retweet
robmoore3,tadousay,retweet
robmoore3,ChangeIt4Better,retweet
robmoore3,UF_COE,retweet
robmoore3,PaulineMuljana,retweet
robmoore3,nikiwats23,retweet
robmoore3,PaulineMuljana,retweet
jmenglund03,jennkepka,retweet
jmenglund03,PaulineMuljana,retweet
jmenglund03,LearnEngage,retweet
jmenglund03,SBarksway,retweet
jmenglund03,LearnEngage,retweet
jmenglund03,johnhiltoniii,retweet
jmenglund03,LearnEngage,retweet
jmenglund03,AnnaRoseLeach,retweet
jmenglund03,VanekJen,retweet
jmenglund03,pazureka,retweet
francesmarg,tutaleni,retweet
francesmarg,NeumannKL,retweet
francesmarg,gsa_aect,retweet
francesmarg,NeumannKL,retweet
francesmarg,tadousay,retweet
francesmarg,AECT,retweet
kellyeross16,DrTerriC,retweet
edudrake2,jeroen69,retweet
troman,WilsonInEdu,retweet
HsuBSU,HsuBSU,retweet
HsuBSU,EdTechAGP,retweet
HsuBSU,hodgesc,retweet
HsuBSU,hodgesc,retweet
HsuBSU,hodgesc,retweet
ImFutureReady,RoutledgeEd,retweet
EdTechSandyK,RoutledgeEd,retweet
KuiXiePHD,NeumannKL,retweet
KuiXiePHD,AECT,retweet
KuiXiePHD,LiuJh_Christie,retweet
jjm09,jeroen69,retweet
jjm09,DKSch,retweet
KateWeaver80,SBarksway,retweet
jweeble,tutaleni,retweet
jweeble,hodgesc,retweet
francesbell,TenaciousTan,retweet
AnnaRoseLeach,caranorth11,retweet
MDRogers360,hodgesc,retweet
MDRogers360,michaelmgrant,retweet
MDRogers360,tadousay,retweet
LEDresearch,FanXU92073425,retweet
widged,DKSch,retweet
DrTerriC,techedges,retweet
eyer,yuuki5000,retweet
ScalarHumanity,michelestork,retweet
ScalarHumanity,jjm09,retweet
LaurenBagdy,bretsw,retweet
Captain_Fess,michelestork,retweet
Nasmahan1,richardewest,retweet
profoyarzun,AECT,retweet
profoyarzun,robmoore3,retweet
profoyarzun,d_mulder,retweet
Thinkshareteach,yuuki5000,retweet
yiyishishi,techedges,retweet
yiyishishi,techedges,retweet
DrVirtuality,AllisonHallAZ,retweet
DrVirtuality,caranorth11,retweet
DrVirtuality,tutaleni,retweet
DrVirtuality,LearnEngage,retweet
DrVirtuality,yuuki5000,retweet
DrVirtuality,LiuJh_Christie,retweet
DrVirtuality,nangur1,retweet
DrVirtuality,WilsonInEdu,retweet
DrVirtuality,LiuJh_Christie,retweet
DrVirtuality,AECT,retweet
SchoolSportsApp,jjm09,retweet
DrRossPerkins,hodgesc,retweet
FakeBobGagne,KinardWidad,retweet
FakeBobGagne,marena2040,retweet
FakeBobGagne,veletsianos,retweet
FakeBobGagne,bretsw,retweet
techedges,steph_moore,retweet
BrendaPadilla,hodgesc,retweet
MuratTurkEd,AECT,retweet
MuratTurkEd,michaelmgrant,retweet
JulieATippens,richardewest,retweet
icr205,Learnics_,retweet
dan_holtey,pazureka,retweet
oueducation,DrTerriC,retweet
aolmstead1,kariword,retweet
tel_education,DrTerriC,retweet
dawnwright67,AmyLomellini_ID,retweet
TenaciousTan,jeroen69,retweet
pennymoved,nangur1,retweet
okeeffefiddle,gravesle,retweet
OT_Pattie,EdTech_UofSC,retweet
gravesle,yuuki5000,retweet
JCHEResearch,DrTerriC,retweet
kariword,ISLT_FSU,retweet
LearnEngage,pazureka,retweet
LearnEngage,pazureka,retweet
LearnEngage,pazureka,retweet
LearnEngage,pazureka,retweet
LearnEngage,ifenthaler,retweet
LearnEngage,pazureka,retweet
benbrown,koubenec,retweet
mktyrt,yuuki5000,retweet
ifenthaler,PaulineMuljana,retweet
ifenthaler,PaulineMuljana,retweet
ifenthaler,nateturcotte22,retweet
ifenthaler,RitaFennelly,retweet
steph_moore,gsa_aect,retweet
steph_moore,richardewest,retweet
steph_moore,arasbozkurt,retweet
steph_moore,JCHEResearch,retweet
TheRealMcKoo,FakeBobGagne,retweet
vdennen,ISLT_FSU,retweet
tech4teachers19,gravesle,retweet
JMUTLT,LiuJh_Christie,retweet
DLResearchLab,KuiXiePHD,retweet
DLResearchLab,KuiXiePHD,retweet
DLResearchLab,KuiXiePHD,retweet
RyanStraight,gravesle,retweet
pazureka,LearnEngage,retweet
pazureka,LearnEngage,retweet
pazureka,kariword,retweet
pazureka,AECT,retweet
pazureka,LearnEngage,retweet
pazureka,LearnEngage,retweet
pazureka,SBarksway,retweet
valarywithawhy,SardImperium,retweet
tcallaghan55,tadousay,retweet
tcallaghan55,tadousay,retweet
patrickplante,koubenec,retweet
buckydodd,DrTerriC,retweet
Tahanialdo,hodgesc,retweet
okstate_etc,tutaleni,retweet
okstate_etc,tutaleni,retweet
okstate_etc,tutaleni,retweet
okstate_etc,tadousay,retweet
okstate_etc,tutaleni,retweet
okstate_etc,tutaleni,retweet
hampthephd,ruitammyhuang,retweet
hampthephd,AECT,retweet
News_MSU,Chiffonbest,retweet
News_MSU,MelGoodEDU,retweet
BChirgwin,DrTerriC,retweet
literacyandland,hodgesc,retweet
MelGoodEDU,art_brownlow,retweet
MelGoodEDU,RitaFennelly,retweet
amy_c_bradshaw,KuiXiePHD,retweet
amy_c_bradshaw,nicolapallitt,retweet
CorinaPastrana,SBarksway,retweet
edtech_prokes,EdTechAGP,retweet
nangur1,bretsw,retweet
AECTTIL,AmyLomellini_ID,retweet
AECTTIL,Captain_Fess,retweet
AECTTIL,AECT,retweet
AECTTIL,AECT,retweet
AECTTIL,Captain_Fess,retweet
MoniIDD,ericpaulrogers,retweet
MoniIDD,arasbozkurt,retweet
MoniIDD,ISLT_FSU,retweet
MoniIDD,ISLT_FSU,retweet
MoniIDD,nangur1,retweet
MoniIDD,LearnEngage,retweet
MoniIDD,ISLT_FSU,retweet
MoniIDD,vdennen,retweet
MoniIDD,LearnEngage,retweet
roycekimmons,caranorth11,retweet
roycekimmons,EdTech_Books,retweet
roycekimmons,richardewest,retweet
roycekimmons,caranorth11,retweet
_ThanhDo,tutaleni,retweet
arasbozkurt,pazureka,retweet
FanXU92073425,AECT,retweet
AsianJde,arasbozkurt,retweet
AsianJde,AECT,retweet
AsianJde,arasbozkurt,retweet
richardewest,caranorth11,retweet
richardewest,EdTech_Books,retweet
kristaruggles,jeroen69,retweet
traceyhabla,techedges,retweet
utexascoe,techedges,retweet
okstate_ehs,tutaleni,retweet
kzenovka,gsa_aect,retweet
kzenovka,gsa_aect,retweet
kzenovka,teacherrogers,retweet
kcsabina_,AECT,retweet
kcsabina_,MarcusChildress,retweet
ktkjellerup,ISLT_FSU,retweet
Happy_Tao,EdTech_UofSC,retweet
Happy_Tao,aectclt,retweet
jayphd18,tutaleni,retweet
jayphd18,nicolapallitt,retweet
ZhongruiYao,ISLT_FSU,retweet
ZhongruiYao,hajeen2040,retweet
ZhongruiYao,hajeen2040,retweet
ZhongruiYao,hajeen2040,retweet
JenM,VanekJen,retweet
JenM,AECT,retweet
JenM,VanekJen,retweet
JenM,gsa_aect,retweet
UzaktanEgitimTR,arasbozkurt,retweet
grhluna24,matt_m_schmidt,retweet
36trusso,DKSch,retweet
epstrong,matt_m_schmidt,retweet
researchmrx,matt_m_schmidt,retweet
OER_Hub,arasbozkurt,retweet
matt_m_schmidt,roycekimmons,retweet
AleEscobedo_,art_brownlow,retweet
routledgebooks,RoutledgeEd,retweet
anna_ksigou,matt_m_schmidt,retweet
Calcaware,LiuJh_Christie,retweet
mreed_reads,idtesu,retweet
mreed_reads,idtesu,retweet
mreed_reads,idtesu,retweet
USouthAL_CoInS,Gaston_teach,retweet
EdTech_UofSC,AECT,retweet
chloed2040,jeroen69,retweet
yvzkblt,arasbozkurt,retweet
jmhenner,jennkepka,retweet
mkbtuc,RitaFennelly,retweet
JNWhiting,johnhiltoniii,retweet
yokufunda,EdTech_Books,retweet
EHinesPhD,ISLT_FSU,retweet
bass_gm,RoutledgeEd,retweet
Origin_Learning,caranorth11,retweet
drclintonlisell,johnhiltoniii,retweet
TTC_ESU,idtesu,retweet
TTC_ESU,idtesu,retweet
TTC_ESU,idtesu,retweet
KSUITEC,Stephsteph83,retweet
Durrahville,Stephsteph83,retweet
drjabaricain,Stephsteph83,retweet
EvidenceRobot,ruitammyhuang,retweet
EvidenceRobot,WilsonInEdu,retweet
Ekateri52105267,EdTech_Books,retweet
UT_IDT,caranorth11,retweet
UT_IDT,ChangeIt4Better,retweet
JMUEngaged,LiuJh_Christie,retweet
dctrcurry,AECT,retweet
Isaac75203895,idtesu,retweet
hajeen2040,ISLT_FSU,retweet
hajeen2040,ISLT_FSU,retweet
hajeen2040,pazureka,retweet
KristenBrooks77,Stephsteph83,retweet
andrewatawfik,PaulineMuljana,retweet
andrewatawfik,PaulineMuljana,retweet
andrewatawfik,gsa_aect,retweet
Johnnie_Jiao,Kadeshaaa_,retweet
Johnnie_Jiao,MuratTurkEd,retweet
BoufflersLydie,DKSch,retweet
Alhareeri,idtesu,retweet
Alhareeri,art_brownlow,retweet
DawnMSnyder,caranorth11,retweet
Supt_comalisd,KathyMansfield,retweet
SambitPhD,LuEMLawrence,retweet
JJ1206,EmmaMMercier,retweet
LT_UMN,pazureka,retweet
sjblevin,AECT,retweet
nateturcotte22,tadousay,retweet
nateturcotte22,gsa_aect,retweet
MarlettDon,LF_Hampton,retweet
Livn2Learn,RitaFennelly,retweet
ksuiteach,KSUITEC,retweet
nicole_youmans,WilsonInEdu,retweet
ElaTheGrad,FredWBaker,retweet
ElaTheGrad,PaulineMuljana,retweet
ElaTheGrad,PaulineMuljana,retweet
hhuijser,ifenthaler,retweet
yaukable,pazureka,retweet
LightbulbJo,AnnaRoseLeach,retweet
LightbulbJo,caranorth11,retweet
NevadaEdChat,DrTerriC,retweet
NevadaEdChat,DrTerriC,retweet
AectInternship,gsa_aect,retweet
cmmarqua,KuiXiePHD,retweet
designthinkbot,kariword,retweet
lurdinharlnunes,AECT,retweet
aectdddivision,JenM,retweet
claimcompanies,tutaleni,retweet
MhammedSahafi,WilsonInEdu,retweet
UofSC_CTE,michaelmgrant,retweet
srogidd,teacherrogers,retweet
LearningFocused,LF_Hampton,retweet
Natachu,AnnaRoseLeach,retweet
MissKBurek,DrVirtuality,retweet
lxdify,caranorth11,retweet
livesimpleread,AnnaRoseLeach,retweet
mwhaile,AnnaRoseLeach,retweet
PhDprep,AnnaRoseLeach,retweet
DonnyBoy71,AnnaRoseLeach,retweet
rdfossey,ekowch,retweet
klillico72,valarywithawhy,retweet
Mike_Kunkle,AnnaRoseLeach,retweet
ChristyATucker,AnnaRoseLeach,retweet
Joseph_Suarez,AnnaRoseLeach,retweet
MMJoly,DKSch,retweet
AYSUN_GUNES,teacherrogers,retweet
FacLabUnige,DKSch,retweet
TheTracieCantu,caranorth11,retweet
TeddyISD,LearnEngage,retweet
MTroyMartin,roycekimmons,retweet
tugcealdemirpsu,PaulineMuljana,retweet
cscharber,AECT,retweet
guywwallace,FredWBaker,retweet
bretsw,FakeBobGagne,quote
bretsw,DrRossPerkins,quote
bretsw,susiegronseth,quote
bretsw,caranorth11,quote
bretsw,bretsw,quote
AECT,michaelmgrant,quote
correia65,FanXU92073425,quote
caranorth11,AnnaRoseLeach,quote
Tech_DrL,AECT,quote
PaulineMuljana,robmoore3,quote
PaulineMuljana,gsa_aect,quote
PaulineMuljana,ifenthaler,quote
PaulineMuljana,ifenthaler,quote
PaulineMuljana,gsa_aect,quote
PaulineMuljana,gsa_aect,quote
PaulineMuljana,nateturcotte22,quote
tutaleni,aectclt,quote
gsa_aect,gsa_aect,quote
gsa_aect,gsa_aect,quote
emergeAfrica,emergeAfrica,quote
emergeAfrica,tutaleni,quote
LiuJh_Christie,nicolapallitt,quote
LiuJh_Christie,nicolapallitt,quote
LiuJh_Christie,hodgesc,quote
LiuJh_Christie,nicolapallitt,quote
LiuJh_Christie,LiuJh_Christie,quote
LiuJh_Christie,ekowch,quote
LiuJh_Christie,nicolapallitt,quote
LiuJh_Christie,nicolapallitt,quote
michaelmgrant,dctrcurry,quote
michaelmgrant,ISLT_FSU,quote
aectclt,nicolapallitt,quote
marshallgjones,michaelmgrant,quote
marshallgjones,Profpatrice,quote
WilsonInEdu,arasbozkurt,quote
TheIDMD,President_NCU,quote
veletsianos,FakeBobGagne,quote
AmyLomellini_ID,gsa_aect,quote
ruitammyhuang,hampthephd,quote
JolieKennedy,randomor,quote
EINS_Institute,opencontent,quote
EINS_Institute,kolorkid,quote
robmoore3,robmoore3,quote
troman,tutaleni,quote
MarcusChildress,michaelmgrant,quote
NeumannKL,NeumannKL,quote
DrTerriC,DrVirtuality,quote
DrTerriC,DrVirtuality,quote
DrTerriC,hodgesc,quote
DrTerriC,DrTerriC,quote
DrTerriC,KWhiteheadLab,quote
DrTerriC,arasbozkurt,quote
DrTerriC,eGeeking,quote
DrTerriC,LCHS_Physics,quote
Captain_Fess,AECT,quote
DrVirtuality,hodgesc,quote
DrVirtuality,Captain_Fess,quote
DrVirtuality,michaelmgrant,quote
DrVirtuality,art_brownlow,quote
FakeBobGagne,johnbrindletel,quote
FakeBobGagne,AECT,quote
FakeBobGagne,richardewest,quote
ChangeIt4Better,hodgesc,quote
DeLibrosCorazon,gravesle,quote
DeLibrosCorazon,gravesle,quote
AlyssaDepury,pazureka,quote
TenaciousTan,yinbk,quote
d_mulder,jennkepka,quote
kariword,ISLT_FSU,quote
ISLT_FSU,ISLT_FSU,quote
ISLT_FSU,ISLT_FSU,quote
ISLT_FSU,MuratTurkEd,quote
LearnEngage,michaelmgrant,quote
LearnEngage,koubenec,quote
tintinluo,PaulineMuljana,quote
ericpaulrogers,KuiXiePHD,quote
valarywithawhy,LearnEngage,quote
SBarksway,pazureka,quote
nangur1,nicolapallitt,quote
NancyeBlackEdu,DrVirtuality,quote
JenM,DrRossPerkins,quote
DrSandraOK,edtechIITB,quote
SmithShannonM,eme2040laurenv,quote
SmithShannonM,DKSch,quote
KSUITEC,WilsonInEdu,quote
Stephsteph83,ksuiteach,quote
dctrcurry,michaelmgrant,quote
hajeen2040,nangur1,quote
hajeen2040,ISLT_FSU,quote
hajeen2040,bretsw,quote
hajeen2040,ISLT_FSU,quote
hajeen2040,ISLT_FSU,quote
eme2040laurenv,SmithShannonM,quote
Kadeshaaa_,DrVirtuality,quote
quincyconley,art_brownlow,quote
EmmaMMercier,LuEMLawrence,quote
sjojackson,kariword,quote
design4learn,JenM,quote
LF_Hampton,hampthephd,quote
tadousay,AECTTechTrends,mention
tadousay,gsa_aect,mention
tadousay,AECT,mention
tadousay,FakeBobGagne,mention
tadousay,gravesle,mention
tadousay,JenM,mention
tadousay,tadousay,mention
tadousay,tedaect,mention
lbukunAA,emergeAfrica,mention
lbukunAA,nicolapallitt,mention
lbukunAA,AECT,mention
lbukunAA,tutaleni,mention
lbukunAA,EdTechOkstate,mention
lbukunAA,PaulineMuljana,mention
lbukunAA,tutaleni,mention
lbukunAA,EdTechOkstate,mention
lbukunAA,tutaleni,mention
lbukunAA,PaulineMuljana,mention
lbukunAA,tutaleni,mention
lbukunAA,nicolapallitt,mention
lbukunAA,emergeAfrica,mention
lbukunAA,nicolapallitt,mention
lbukunAA,AECT,mention
vt_idt,veletsianos,mention
vt_idt,onmyway2here,mention
aectrtd,AECT,mention
bretsw,aectrtd,mention
bretsw,AECT,mention
bretsw,susiegronseth,mention
bretsw,professordaveme,mention
bretsw,UHCOE,mention
bretsw,GingerWatsonPhD,mention
bretsw,nangur1,mention
bretsw,bretsw,mention
bretsw,spgreenhalgh,mention
bretsw,tutaleni,mention
bretsw,spgreenhalgh,mention
bretsw,rstudio,mention
bretsw,GingerWatsonPhD,mention
bretsw,FakeBobGagne,mention
bretsw,DrRossPerkins,mention
bretsw,DrRossPerkins,mention
bretsw,GingerWatsonPhD,mention
bretsw,caranorth11,mention
bretsw,GingerWatsonPhD,mention
bretsw,eromerohall,mention
bretsw,nangur1,mention
bretsw,bretsw,mention
bretsw,susiegronseth,mention
bretsw,GingerWatsonPhD,mention
bretsw,caranorth11,mention
bretsw,GingerWatsonPhD,mention
bretsw,veletsianos,mention
bretsw,spgreenhalgh,mention
bretsw,rstudio,mention
bretsw,LaurenBagdy,mention
bretsw,gsa_aect,mention
bretsw,techedges,mention
bretsw,utexascoe,mention
bretsw,w200zmn,mention
bretsw,AECT,mention
bretsw,vdennen,mention
bretsw,ISLT_FSU,mention
bretsw,aectrtd,mention
bretsw,AECT,mention
bretsw,AECT,mention
bretsw,DrRossPerkins,mention
bretsw,steph_moore,mention
bretsw,spgreenhalgh,mention
bretsw,rstudio,mention
bretsw,RitaFennelly,mention
bretsw,AECT,mention
bretsw,eromerohall,mention
bretsw,rstudio,mention
bretsw,jrosenberg6432,mention
bretsw,spgreenhalgh,mention
bretsw,FakeBobGagne,mention
bretsw,LaurenBagdy,mention
AECT,SBarksway,mention
AECT,gravesle,mention
AECT,JenM,mention
AECT,tadousay,mention
AECT,jrosenberg6432,mention
AECT,bretsw,mention
AECT,susiegronseth,mention
AECT,GingerWatsonPhD,mention
AECT,DrTerriC,mention
AECT,AnnaRoseLeach,mention
AECT,caranorth11,mention
AECT,NeumannKL,mention
AECT,AECT,mention
AECT,francesmarg,mention
AECT,MelGoodEDU,mention
AECT,rmreese1,mention
AECT,aectddl,mention
AECT,onmyway2here,mention
AECT,bretsw,mention
AECT,LaurenBagdy,mention
AECT,bretsw,mention
AECT,aectrtd,mention
AECT,AECT,mention
AECT,robmoore3,mention
AECT,emergeAfrica,mention
AECT,nicolapallitt,mention
AECT,AECT,mention
AECT,idtesu,mention
AECT,robmoore3,mention
AECT,FanXU92073425,mention
AECT,correia65,mention
AECT,ISLT_FSU,mention
AECT,nicolapallitt,mention
AECT,emergeAfrica,mention
AECT,idtesu,mention
AECT,IndianaUniv,mention
AECT,CaseyHi29640551,mention
AECT,ISLT_FSU,mention
AECT,CaseyHi29640551,mention
AECT,aectclt,mention
AECT,liujuhong,mention
AECT,AECT,mention
AECT,matt_m_schmidt,mention
AECT,idtesu,mention
AECT,WilsonInEdu,mention
AECT,troman,mention
AECT,KSUITEC,mention
AECT,hampthephd,mention
AECT,matt_m_schmidt,mention
AECT,ifenthaler,mention
AECT,AECT,mention
AECT,SpringerEdu,mention
AECT,Happy_Tao,mention
AECT,AECT,mention
AECT,ChangeIt4Better,mention
AECT,RitaFennelly,mention
AECT,AECT,mention
AECT,robmoore3,mention
AECT,Kadeshaaa_,mention
AECT,WilsonInEdu,mention
AECT,kristaruggles,mention
AECT,hodgesc,mention
AECT,SpringerEdu,mention
AECT,WilsonInEdu,mention
AECT,DrVirtuality,mention
AECT,AECT,mention
AECT,aect19,mention
AECT,Chiffonbest,mention
AECT,AECT,mention
AECT,aectclt,mention
AECT,nicolapallitt,mention
AECT,DrTerriC,mention
AECT,michaelmgrant,mention
AECT,dctrcurry,mention
AECT,MeganCMurtaugh,mention
AECT,idtesu,mention
AECT,tutaleni,mention
AECT,robmoore3,mention
AECT,epsODU,mention
AECT,PaulineMuljana,mention
AECT,FredWBaker,mention
AECT,michaelmgrant,mention
AECT,pazureka,mention
AECT,aectrtd,mention
AECT,AECT,mention
AECT,gsa_aect,mention
AECT,dctrcurry,mention
AECT,DrVirtuality,mention
AECT,aectclt,mention
AECT,yinbk,mention
AECT,jeroen69,mention
AECT,Giacumo,mention
AECT,nicolapallitt,mention
AECT,ZhenXu0905,mention
AECT,edneuro,mention
AECT,smreeves1,mention
AECT,LearnEngage,mention
AECT,bretsw,mention
AECT,yinbk,mention
AECT,DrVirtuality,mention
AECT,AECT,mention
AECT,ericpaulrogers,mention
AECT,DrVirtuality,mention
AECT,aectclt,mention
AECT,utahstateITLS,mention
AECT,"NATO_ACT",mention
AECT,jennkepka,mention
AECT,TAmankwatia,mention
AECT,pazureka,mention
AECT,AECT,mention
AECT,koubenec,mention
AECT,EdTech_UofSC,mention
AECT,AECT,mention
AECT,bretsw,mention
AECT,onmyway2here,mention
AECT,emergeAfrica,mention
AECT,nicolapallitt,mention
AECT,AECT,mention
AECT,gsa_aect,mention
AECT,SBarksway,mention
AECT,nangur1,mention
AECT,khuett,mention
AECT,FredWBaker,mention
AECT,hodgesc,mention
AECT,michaelmgrant,mention
AECT,dctrcurry,mention
AECT,AECT,mention
AECT,aectclt,mention
AECT,srogidd,mention
AECT,chloed2040,mention
AECT,pazureka,mention
AECT,SBarksway,mention
AECT,PaulineMuljana,mention
AECT,ifenthaler,mention
AECT,srogidd,mention
AECT,ChangeIt4Better,mention
AECT,adriannewilson_,mention
AECT,UT_IDT,mention
AECT,michaelmgrant,mention
AECT,gsa_aect,mention
AECT,robmoore3,mention
AECT,profoyarzun,mention
AECT,nicolapallitt,mention
AECT,AECT,mention
AECT,robmoore3,mention
AECT,dctrcurry,mention
AECT,kolorkid,mention
AECT,dctrcurry,mention
AECT,michaelmgrant,mention
AECT,AECT,mention
AECT,koubenec,mention
AECT,AECT,mention
AECT,github,mention
AECT,ThomasLamey1,mention
AECT,rmreese1,mention
AECT,AECT,mention
AECT,michelestork,mention
AECT,kzenovka,mention
AECT,hodgesc,mention
AECT,DrTerriC,mention
AECT,DKSch,mention
AECT,troman,mention
AECT,PaulineMuljana,mention
AECT,epsODU,mention
AECT,tutaleni,mention
AECT,jennkepka,mention
AECT,tutaleni,mention
AECT,C21U,mention
AECT,GeorgiaTech,mention
AECT,ChildsElizabeth,mention
AECT,ISLT_FSU,mention
AECT,ThomasLamey1,mention
AECT,UWF,mention
AECT,arasbozkurt,mention
AECT,nangur1,mention
AECT,hodgesc,mention
AECT,AECTTechTrends,mention
AECT,DrRossPerkins,mention
AECT,pazureka,mention
AECT,AECT,mention
AECT,robmoore3,mention
AECT,profoyarzun,mention
AECT,hampthephd,mention
AECT,nikiwats23,mention
AECT,EdTech_Books,mention
AECT,art_brownlow,mention
AECT,AECT,mention
AECT,nangur1,mention
AECT,eromerohall,mention
AECT,kzenovka,mention
AECT,Stephsteph83,mention
AECT,AllisonHallAZ,mention
AECT,tutaleni,mention
AECT,nangur1,mention
AECT,AECT,mention
AECT,richardewest,mention
AECT,EdTech_Books,mention
AECT,techedges,mention
AECT,utexascoe,mention
AECT,LearnEngage,mention
AECT,tutaleni,mention
AECT,DrVirtuality,mention
AECT,AECT,mention
AECT,gsa_aect,mention
AECT,ThomasLamey1,mention
AECT,tkolski716,mention
AECT,LearnEngage,mention
AECT,MeganCMurtaugh,mention
AECT,RitaFennelly,mention
AECT,AECT,mention
AECT,SpheroEdu,mention
AECT,michaelmgrant,mention
AECT,richardewest,mention
AECT,AnnaRoseLeach,mention
AECT,caranorth11,mention
AECT,schmik7,mention
AECT,DrVirtuality,mention
AECT,AECT,mention
AECT,classcraftgame,mention
AECT,nangur1,mention
AECT,bretsw,mention
AECT,spgreenhalgh,mention
AECT,yinbk,mention
AECT,AllonsDanser,mention
AECT,FakeBobGagne,mention
AECT,Chiffonbest,mention
AECT,matt_m_schmidt,mention
AECT,tadousay,mention
AECT,VVongkulluksn,mention
AECT,Nelsmich,mention
AECT,hawk_nathanA,mention
AECT,AlianaZhu,mention
AECT,caranorth11,mention
AECT,KristenLearning,mention
AECT,robmoore3,mention
AECT,ge_xun,mention
AECT,idtesu,mention
AECT,ISLT_FSU,mention
AECT,SBarksway,mention
AECT,ISLT_FSU,mention
AECT,schmik7,mention
AECT,robmoore3,mention
AECT,DrTerriC,mention
AECT,AECT,mention
AECT,FanXU92073425,mention
AECT,correia65,mention
AECT,travelinedman,mention
AECT,RitaFennelly,mention
AECT,JoiMoore,mention
AECT,AECT,mention
AECT,michaelmgrant,mention
AECT,DrVirtuality,mention
AECT,AECT,mention
AECT,aectclt,mention
AECT,nicolapallitt,mention
AECT,camille_dd,mention
AECT,JCHEResearch,mention
AECT,AECT,mention
AECT,DrRossPerkins,mention
AECT,steph_moore,mention
AECT,gsa_aect,mention
AECT,DrVirtuality,mention
AECT,AECT,mention
AECT,AllisonHallAZ,mention
AECT,edtechbsu,mention
AECT,hampthephd,mention
AECT,caranorth11,mention
AECT,JenM,mention
AECT,roycekimmons,mention
AECT,jeroen69,mention
AECT,AllisonHallAZ,mention
AECT,hodgesc,mention
AECT,michaelmgrant,mention
AECT,PaulineMuljana,mention
AECT,gsa_aect,mention
AECT,bretsw,mention
AECT,LaurenBagdy,mention
AECT,profoyarzun,mention
AECT,d_mulder,mention
AECT,OlgaCataliina,mention
AECT,ericpaulrogers,mention
AECT,idtesu,mention
AECT,ISLT_FSU,mention
AECT,vdennen,mention
AECT,UF_COE,mention
AECT,SKEdTech,mention
AECT,AlbertRitzhaupt,mention
AECT,kiranbudhrani,mention
AECT,art_brownlow,mention
AECT,DrTerriC,mention
AECT,AECT,mention
AECT,ISLT_FSU,mention
AECT,hodgesc,mention
AECT,AECTTechTrends,mention
AECT,RealMelissaWarr,mention
AECT,johnhiltoniii,mention
AECT,opencontent,mention
AECT,ISLT_FSU,mention
AECT,LearnEngage,mention
AECT,hodgesc,mention
AECT,AECTTechTrends,mention
AECT,bretsw,mention
AECT,ChangeIt4Better,mention
AECT,ISLT_FSU,mention
AECT,kolorkid,mention
AECT,RitaFennelly,mention
AECT,AECT,mention
AECT,AECT,mention
AECT,bretsw,mention
AECT,dctrcurry,mention
AECT,AECT,mention
AECT,michaelmgrant,mention
AECT,nicolapallitt,mention
AECT,AECT,mention
AECT,aectclt,mention
AECT,nicolapallitt,mention
AECT,MarcusChildress,mention
AECT,d_mulder,mention
AECT,hampthephd,mention
AECT,DrVirtuality,mention
AECT,bretsw,mention
AECT,nicolapallitt,mention
AECT,emergeAfrica,mention
AECT,AECT,mention
AECT,nangur1,mention
AECT,veletsianos,mention
AECT,michaelmgrant,mention
AECT,AECT,mention
AECT,idtesu,mention
AECT,ericpaulrogers,mention
AECT,LearnEngage,mention
AECT,UNTsocial,mention
AECT,ECNUER,mention
AECT,RoutledgeEd,mention
AECT,ISLT_FSU,mention
AECT,vdennen,mention
AECT,nateturcotte22,mention
AECT,gsa_aect,mention
AECT,arasbozkurt,mention
AECT,valarywithawhy,mention
AECT,nicolapallitt,mention
AECT,AECT,mention
AECT,aectclt,mention
AECT,hodgesc,mention
AECT,rmreese1,mention
AECT,AmyLomellini_ID,mention
AECT,nicolapallitt,mention
AECT,DrVirtuality,mention
AECT,AECT,mention
AECT,aectclt,mention
AECT,RitaFennelly,mention
AECT,zoom_us,mention
AECT,WorldEdUS,mention
AECT,AmeriCorps,mention
AECT,ISLT_FSU,mention
AECT,JenM,mention
AECT,aectdddivision,mention
AECT,DrRossPerkins,mention
AECT,marshallgjones,mention
AECT,AECT,mention
AECT,AectInternship,mention
AECT,kiranbudhrani,mention
AECT,LaurenBagdy,mention
AECT,nateturcotte22,mention
AECT,RitaFennelly,mention
AECT,AECT,mention
AECT,DrVirtuality,mention
AECT,AECT,mention
AECT,aectclt,mention
AECT,hampthephd,mention
AECT,kzenovka,mention
AECT,hampthephd,mention
AECT,AlbertRitzhaupt,mention
AECT,jennkepka,mention
AECT,edtech_prokes,mention
AECT,plowenthal,mention
AECT,AECT,mention
AECT,DrVirtuality,mention
AECT,NancyeBlackEdu,mention
AECT,AECT,mention
AECT,jjm09,mention
AECT,VanekJen,mention
AECT,DrRossPerkins,mention
AECT,RitaFennelly,mention
AECT,AECT,mention
AECT,Happy_Tao,mention
AECT,EdTech_UofSC,mention
AECT,ChangeIt4Better,mention
AECT,ChangeIt4Better,mention
